column_one,column_two
3.3V_SH,C1.1
GND,C1.2
3.3V,C10.1
GND,C10.2
12V,C100.1
GND,C100.2
S_1.2V_DDR_EN,C101.1
GND,C101.2
12V,C102.1
GND,C102.2
VCORE,C103.1
GND,C103.2
S_BOOT_VCORE_RC_P1,C104.1
S_BOOT_VCORE_P1,C104.2
1.2V_DDR,C105.1
GND,C105.2
S_1.2V_DDR_FB_R,C106.1
S_1.2V_DDR_FB_RC,C106.2
12V,C107.1
GND,C107.2
12V,C108.1
GND,C108.2
1.2V_DDR,C109.1
GND,C109.2
3.3V,C11.1
GND,C11.2
VCC_1.2V,C110.1
GND,C110.2
S_1.2V_DDR_SS,C111.1
GND,C111.2
AGND_1.2V_DDR,C112.1
S_1.2V_DDR_SS,C112.2
VCORE,C113.1
GND,C113.2
VCORE,C114.1
GND,C114.2
12V,C115.1
GND,C115.2
12V,C116.1
GND,C116.2
3.3V,C117.1
GND,C117.2
VDDCPA,C118.1
VSSCPA,C118.2
AG_SW_VCORE_P2,C119.1
AG_VCORE_RC_SNB_P2,C119.2
3.3V,C12.1
GND,C12.2
5V,C120.1
GND,C120.2
S_VCC_VCORE_P2,C121.1
GND,C121.2
S_VCORE_ACSP2_N,C122.1
GND,C122.2
3.3V,C123.1
GND,C123.2
VCORE,C124.1
GND,C124.2
VCORE,C125.1
GND,C125.2
S_UART_RST_L,C126.1
GND,C126.2
3.3V,C127.1
GND,C127.2
3.3V,C128.1
GND,C128.2
1.2V,C129.1
GND,C129.2
VDDIM_EMMC,C13.1
GND,C13.2
S_BOOT_VCORE_RC_P2,C130.1
S_BOOT_VCORE_P2,C130.2
12V,C131.1
GND,C131.2
12V,C132.1
GND,C132.2
S_CCLK_LVDS_P,C133.1
S_CCLK_P,C133.2
VCORE,C134.1
GND,C134.2
12V,C135.1
GND,C135.2
12V,C136.1
GND,C136.2
5V,C137.1
GND,C137.2
3.3V_VIN_CONT,C138.1
GND,C138.2
1.8V_VDDPLLPX,C139.1
GND_VSSPLLPX,C139.2
3.3V,C14.1
GND,C14.2
3.3V_CCLK_LVDS_OCS,C140.1
GND,C140.2
S_CCLK_LVDS_N,C141.1
S_CCLK_N,C141.2
12V,C142.1
GND,C142.2
5V,C143.1
GND,C143.2
S_5V_SS,C144.1
AGND_5V,C144.2
S_VREF_CONT,C145.1
GND,C145.2
SE_CLK_GEN_HUB_XO_R,C146.1
GND,C146.2
3.3V_GEN_CLK,C147.1
GND,C147.2
SE_CLK_GEN_XO_R,C148.1
GND,C148.2
GND,C149.1
SE_CLK_GEN_XI,C149.2
VDDIM_EMMC,C15.1
GND,C15.2
1.8V_VDDPLLPX,C150.1
GND_VSSPLLPX,C150.2
3.3V,C151.1
GND,C151.2
3.3V,C152.1
GND,C152.2
3.3V_USB_OSC,C153.1
GND,C153.2
3.3V_USB_OSC,C154.1
GND,C154.2
1.2V_PWR_USBPHY,C155.1
GND,C155.2
3.3V_PWR_USBPHY,C156.1
GND,C156.2
VDD_USB_PLLFILT,C157.1
GND,C157.2
SE_CLK_GEN_HUB_XI,C158.1
GND,C158.2
3.3V_GEN_CLK,C159.1
GND,C159.2
1.2V_DDR,C16.1
GND,C16.2
3.3V,C160.1
GND,C160.2
3.3V_CCLK_LVDS_OCS,C161.1
GND,C161.2
3.3V,C162.1
GND,C162.2
3.3V_GEN_CLK,C163.1
GND,C163.2
1.8V,C164.1
GND,C164.2
3.3V_CCLK_LVDS,C165.1
GND,C165.2
3.3V_VDDA,C166.1
GND,C166.2
S_PRSNT_L,C167.1
L_TERM_B81_C,C167.2
L_TERM_B82,C168.1
L_TERM_B82_C,C168.2
3.3V,C169.1
GND,C169.2
2.5V,C17.1
GND,C17.2
VDD_USB_CRFILT,C170.1
GND,C170.2
12V,C171.1
GND,C171.2
L_TERM_A19_C,C172.1
SE_SER_DO_CONN,C172.2
L_TERM_B48,C173.1
L_TERM_B48_C,C173.2
L_TERM_A50_C,C174.1
L_TERM_A50,C174.2
L_TERM_B17,C175.1
L_TERM_B17_C,C175.2
L_TERM_B31,C176.1
L_TERM_B31_C,C176.2
0.6V_VTT,C177.1
GND,C177.2
0.6V_VTT,C178.1
GND,C178.2
3.3V_SH,C179.1
GND,C179.2
1.2V_DDR,C18.1
GND,C18.2
0.6V_VTT,C180.1
GND,C180.2
0.6V_VTT,C181.1
GND,C181.2
0.6V_VTT,C182.1
GND,C182.2
0.6V_VTT,C183.1
GND,C183.2
1.2V_DDR,C184.1
GND,C184.2
1.2V_DDR,C185.1
GND,C185.2
1.2V_DDR,C186.1
GND,C186.2
1.2V_DDR,C187.1
GND,C187.2
3.3V,C188.1
GND,C188.2
0.6V_VTT,C189.1
GND,C189.2
2.5V,C19.1
GND,C19.2
1.2V_DDR,C190.1
GND,C190.2
2.5V,C191.1
GND,C191.2
1.2V_DDR,C192.1
GND,C192.2
2.5V,C193.1
GND,C193.2
1.2V_DDR,C194.1
GND,C194.2
2.5V,C195.1
GND,C195.2
1.2V_DDR,C196.1
GND,C196.2
2.5V,C197.1
GND,C197.2
0.6V_VTT,C198.1
GND,C198.2
GND,C199.1
0.6V_VREFCA,C199.2
3.3V_SH,C2.1
GND,C2.2
1.2V_DDR,C20.1
GND,C20.2
GND,C200.1
0.6V_VREFCA,C200.2
GND,C201.1
0.6V_VREFCA,C201.2
GND,C202.1
0.6V_VREFCA,C202.2
1.2V_DDR,C203.1
GND,C203.2
1.2V_DDR,C204.1
GND,C204.2
S_GMII_RST,C205.1
GND,C205.2
S_RJ45_TRCT1,C206.1
GND,C206.2
S_RJ45_TRCT2,C207.1
GND,C207.2
1.2V_DDR,C208.1
GND,C208.2
1.2V_DDR,C209.1
GND,C209.2
2.5V,C21.1
GND,C21.2
1.2V_DDR,C210.1
GND,C210.2
1.2V_DDR,C211.1
GND,C211.2
1.2V_DDR,C212.1
GND,C212.2
1.2V_DDR,C213.1
GND,C213.2
1.2V_DDR,C214.1
GND,C214.2
1.2V_DDR,C215.1
GND,C215.2
1.2V_DDR,C216.1
GND,C216.2
3.3V_RCLK_LVDS_OCS,C217.1
GND,C217.2
3.3V_RCLK_LVDS,C218.1
GND,C218.2
DDR4_CK1_TERM,C219.1
1.2V_DDR,C219.2
1.2V_DDR,C22.1
GND,C22.2
DDR4_CK0_TERM,C220.1
1.2V_DDR,C220.2
0.6V_VTT,C221.1
GND,C221.2
1.2V_DDR,C222.1
GND,C222.2
1.2V_DDR,C223.1
GND,C223.2
1.2V_DDR,C224.1
GND,C224.2
1.2V_DDR,C225.1
GND,C225.2
1.2V_DDR,C226.1
GND,C226.2
1.2V_DDR,C227.1
GND,C227.2
1.2V_DDR,C228.1
GND,C228.2
1.2V_DDR,C229.1
GND,C229.2
2.5V,C23.1
GND,C23.2
DDR4_ALERT_N_R,C230.1
GND,C230.2
12V,C231.1
GND,C231.2
1.2V_AVDDL,C232.1
GND,C232.2
0.6V_VTT,C233.1
GND,C233.2
1.2V_DDR,C234.1
GND,C234.2
0.6V_VTT,C235.1
GND,C235.2
2.5V,C236.1
GND,C236.2
2.5V,C237.1
GND,C237.2
2.5V,C238.1
GND,C238.2
2.5V,C239.1
GND,C239.2
1.2V_DDR,C24.1
GND,C24.2
1.2V_DDR,C240.1
GND,C240.2
1.2V_DDR,C241.1
GND,C241.2
1.2V_DDR,C242.1
GND,C242.2
12V,C243.1
GND,C243.2
1.8V,C244.1
GND,C244.2
3.3V,C245.1
GND,C245.2
1.2V_DVDDL,C246.1
GND,C246.2
1.2V_AVDDL_PLL,C247.1
GND,C247.2
1.2V_AVDDL,C248.1
GND,C248.2
3.3V,C249.1
GND,C249.2
2.5V,C25.1
GND,C25.2
0.6V_VTT,C250.1
GND,C250.2
0.6V_VTT,C251.1
GND,C251.2
VTT_REFIN,C252.1
GND,C252.2
1.2V_DDR,C253.1
GND,C253.2
1.2V_DDR,C254.1
GND,C254.2
1.2V_DDR,C255.1
GND,C255.2
1.2V_DDR,C256.1
GND,C256.2
1.2V_DDR,C257.1
GND,C257.2
1.2V_DDR,C258.1
GND,C258.2
1.2V_DDR,C259.1
GND,C259.2
1.2V_DDR,C26.1
GND,C26.2
1.2V_DDR,C260.1
GND,C260.2
1.2V_DDR,C261.1
GND,C261.2
1.8V,C262.1
GND,C262.2
1.8V,C263.1
GND,C263.2
VCORE,C264.1
GND,C264.2
1.8V,C265.1
GND,C265.2
1.2V_DVDDL,C266.1
GND,C266.2
3.3V,C267.1
GND,C267.2
1.2V_AVDDL,C268.1
GND,C268.2
1.2V_AVDDL,C269.1
GND,C269.2
SE_CLK_GEN_GMII_XO_R,C27.1
GND,C27.2
1.2V_AVDDL,C270.1
GND,C270.2
0.6V_VREFCA,C271.1
GND,C271.2
3.3V,C272.1
GND,C272.2
12V,C273.1
GND,C273.2
S_2.5V_EN,C274.1
GND,C274.2
S_2.5V_SS,C275.1
GND_ANALOG_2.5V,C275.2
12V,C276.1
GND,C276.2
1.2V_DDR,C277.1
GND,C277.2
DDR4_CK0_N,C278.1
DDR4_CK0_P,C278.2
DDR4_CK1_N,C279.1
DDR4_CK1_P,C279.2
3.3V_SH,C28.1
GND,C28.2
1.2V_DDR,C280.1
GND,C280.2
1.2V_DDR,C281.1
GND,C281.2
1.2V_DDR,C282.1
GND,C282.2
1.2V_DDR,C283.1
GND,C283.2
1.2V_DDR,C284.1
GND,C284.2
1.2V_DDR,C285.1
GND,C285.2
1.2V_DDR,C286.1
GND,C286.2
1.8V_VAA_DDR_PLL,C287.1
GND,C287.2
VCORE,C288.1
GND,C288.2
VCORE,C289.1
GND,C289.2
3.3V,C29.1
GND,C29.2
VCORE,C290.1
GND,C290.2
VCORE,C291.1
GND,C291.2
VCORE,C292.1
GND,C292.2
VCORE,C293.1
GND,C293.2
VCORE,C294.1
GND,C294.2
VCORE,C295.1
GND,C295.2
VCORE,C296.1
GND,C296.2
VCORE,C297.1
GND,C297.2
VCORE,C298.1
GND,C298.2
VCORE,C299.1
GND,C299.2
1.2V_DDR,C3.1
GND,C3.2
3.3V,C30.1
GND,C30.2
VCORE,C300.1
GND,C300.2
VCORE,C301.1
GND,C301.2
VCORE,C302.1
GND,C302.2
VCORE,C303.1
GND,C303.2
VCORE,C304.1
GND,C304.2
VCORE,C305.1
GND,C305.2
VCORE,C306.1
GND,C306.2
VCORE,C307.1
GND,C307.2
VCORE,C308.1
GND,C308.2
VCORE,C309.1
GND,C309.2
3.3V,C31.1
GND,C31.2
VCORE,C310.1
GND,C310.2
VCORE,C311.1
GND,C311.2
VCORE,C312.1
GND,C312.2
VCORE,C313.1
GND,C313.2
VCORE,C314.1
GND,C314.2
VCORE,C315.1
GND,C315.2
VDDCPA1,C316.1
VSSCPA1,C316.2
VDDCPA1,C317.1
VSSCPA1,C317.2
VDDCPA1,C318.1
VSSCPA1,C318.2
VCORE,C319.1
GND,C319.2
3.3V,C32.1
GND,C32.2
VDDCPA1,C320.1
VSSCPA1,C320.2
AG_1.8V_BST_R,C321.1
AG_1.8V_PH,C321.2
AG_1.8V_PH_R,C322.1
GND,C322.2
1.2V_DVDDL,C323.1
GND,C323.2
3.3V,C324.1
GND,C324.2
1.2V_DVDDL,C325.1
GND,C325.2
1.2V_DVDDL,C326.1
GND,C326.2
3.3V,C327.1
GND,C327.2
1.2V_AVDDL,C328.1
GND,C328.2
3.3V,C329.1
GND,C329.2
3.3V,C33.1
GND,C33.2
1.2V_AVDDL,C330.1
GND,C330.2
1.2V_AVDDL,C331.1
GND,C331.2
S_0.6V_VTT_EN,C332.1
GND,C332.2
12V,C333.1
GND,C333.2
12V,C334.1
GND,C334.2
1.2V_DDR,C335.1
GND,C335.2
VCORE,C336.1
GND,C336.2
1.8V_VAA_DDR_PLL,C337.1
GND,C337.2
1.2V_DDR,C338.1
GND,C338.2
1.2V_DDR,C339.1
GND,C339.2
1.2V_DDR,C34.1
GND,C34.2
1.2V_DDR,C340.1
GND,C340.2
1.2V_DDR,C341.1
GND,C341.2
1.2V_DDR,C342.1
GND,C342.2
1.2V_DDR,C343.1
GND,C343.2
1.2V_DDR,C344.1
GND,C344.2
1.8V_VAA_DDR_PLL,C345.1
GND,C345.2
VCORE,C346.1
GND,C346.2
VCORE,C347.1
GND,C347.2
VCORE,C348.1
GND,C348.2
VCORE,C349.1
GND,C349.2
1.2V_DDR,C35.1
GND,C35.2
VCORE,C350.1
GND,C350.2
VCORE,C351.1
GND,C351.2
VCORE,C352.1
GND,C352.2
VCORE,C353.1
GND,C353.2
VCORE,C354.1
GND,C354.2
VCORE,C355.1
GND,C355.2
VCORE,C356.1
GND,C356.2
VCORE,C357.1
GND,C357.2
VCORE,C358.1
GND,C358.2
VCORE,C359.1
GND,C359.2
GND,C36.1
0.6V_VREFCA,C36.2
VCORE,C360.1
GND,C360.2
VCORE,C361.1
GND,C361.2
VCORE,C362.1
GND,C362.2
VCORE,C363.1
GND,C363.2
VCORE,C364.1
GND,C364.2
VCORE,C365.1
GND,C365.2
VCORE,C366.1
GND,C366.2
VCORE,C367.1
GND,C367.2
VCORE,C368.1
GND,C368.2
VCORE,C369.1
GND,C369.2
GND,C37.1
0.6V_VREFCA,C37.2
VCORE,C370.1
GND,C370.2
VCORE,C371.1
GND,C371.2
VCORE,C372.1
GND,C372.2
VCORE,C373.1
GND,C373.2
VCORE,C374.1
GND,C374.2
VCORE,C375.1
GND,C375.2
VCORE,C376.1
GND,C376.2
VCORE,C377.1
GND,C377.2
VCORE,C378.1
GND,C378.2
VCORE,C379.1
GND,C379.2
GND,C38.1
0.6V_VREFCA,C38.2
VCORE,C380.1
GND,C380.2
VCORE,C381.1
GND,C381.2
VCORE,C382.1
GND,C382.2
VCORE,C383.1
GND,C383.2
VDDCPA1,C384.1
VSSCPA1,C384.2
VDDCPA2,C385.1
VSSCPA2,C385.2
VDDCPA2,C386.1
VSSCPA2,C386.2
VCORE,C387.1
GND,C387.2
3.3V_QSFP0,C388.1
GND,C388.2
3.3V_QSFP0,C389.1
GND,C389.2
GND,C39.1
0.6V_VREFCA,C39.2
2.5V,C390.1
GND,C390.2
2.5V,C391.1
GND,C391.2
AG_1.2V_DDR_PH_R,C392.1
GND,C392.2
1.2V_DDR,C393.1
GND,C393.2
12V,C394.1
GND,C394.2
VCORE,C395.1
GND,C395.2
1.8V,C396.1
GND,C396.2
1.2V_DDR,C397.1
GND,C397.2
1.2V_DDR,C398.1
GND,C398.2
1.2V_DDR,C399.1
GND,C399.2
1.2V_DDR,C4.1
GND,C4.2
GND,C40.1
0.6V_VREFCA,C40.2
1.2V_DDR,C400.1
GND,C400.2
1.2V_DDR,C401.1
GND,C401.2
VCORE,C402.1
GND,C402.2
VCORE,C403.1
GND,C403.2
VCORE,C404.1
GND,C404.2
VCORE,C405.1
GND,C405.2
VCORE,C406.1
GND,C406.2
VCORE,C407.1
GND,C407.2
VCORE,C408.1
GND,C408.2
VCORE,C409.1
GND,C409.2
1.2V_DDR,C41.1
GND,C41.2
VCORE,C410.1
GND,C410.2
VCORE,C411.1
GND,C411.2
VCORE,C412.1
GND,C412.2
VCORE,C413.1
GND,C413.2
VCORE,C414.1
GND,C414.2
VCORE,C415.1
GND,C415.2
VCORE,C416.1
GND,C416.2
VCORE,C417.1
GND,C417.2
VCORE,C418.1
GND,C418.2
VCORE,C419.1
GND,C419.2
3.3V,C42.1
GND,C42.2
VCORE,C420.1
GND,C420.2
VCORE,C421.1
GND,C421.2
VCORE,C422.1
GND,C422.2
VCORE,C423.1
GND,C423.2
VCORE,C424.1
GND,C424.2
VCORE,C425.1
GND,C425.2
VCORE,C426.1
GND,C426.2
VCORE,C427.1
GND,C427.2
VCORE,C428.1
GND,C428.2
VCORE,C429.1
GND,C429.2
3.3V_RCLK_LVDS_OCS,C43.1
GND,C43.2
VCORE,C430.1
GND,C430.2
VCORE,C431.1
GND,C431.2
VDDCPA2,C432.1
VSSCPA2,C432.2
VDDCPA2,C433.1
VSSCPA2,C433.2
12V,C434.1
GND,C434.2
12V,C435.1
GND,C435.2
3V_DIF_RTC,C436.1
GND,C436.2
12V,C438.1
GND,C438.2
12V,C439.1
GND,C439.2
1.2V_DDR,C44.1
GND,C44.2
12V,C440.1
GND,C440.2
VCORE,C441.1
GND,C441.2
VCORE,C442.1
GND,C442.2
VCORE,C443.1
GND,C443.2
VCORE,C444.1
GND,C444.2
VCORE,C445.1
GND,C445.2
VCORE,C446.1
GND,C446.2
VCORE,C447.1
GND,C447.2
VCORE,C448.1
GND,C448.2
VCORE,C449.1
GND,C449.2
1.2V_DDR,C45.1
GND,C45.2
VCORE,C450.1
GND,C450.2
VCORE,C451.1
GND,C451.2
VCORE,C452.1
GND,C452.2
VCORE,C453.1
GND,C453.2
VCORE,C454.1
GND,C454.2
VCORE,C455.1
GND,C455.2
VCORE,C456.1
GND,C456.2
VCORE,C457.1
GND,C457.2
VCORE,C458.1
GND,C458.2
VCORE,C459.1
GND,C459.2
1.2V_DDR,C46.1
GND,C46.2
VCORE,C460.1
GND,C460.2
VCORE,C461.1
GND,C461.2
VCORE,C462.1
GND,C462.2
VCORE,C463.1
GND,C463.2
VCORE,C464.1
GND,C464.2
VCORE,C465.1
GND,C465.2
VCORE,C466.1
GND,C466.2
VCORE,C467.1
GND,C467.2
VCORE,C468.1
GND,C468.2
VCORE,C469.1
GND,C469.2
1.2V_DDR,C47.1
GND,C47.2
VCORE,C470.1
GND,C470.2
3.3V,C471.1
GND,C471.2
3.3V,C472.1
GND,C472.2
VDDCPA2,C473.1
VSSCPA2,C473.2
S_3.3V_SS_P0,C474.1
GND_ANALOG_3.3V_P0,C474.2
3.3V,C475.1
GND,C475.2
S_RJ45_TRCT4,C476.1
GND,C476.2
S_RJ45_TRCT3,C477.1
GND,C477.2
3.3V_VDD_RTC,C478.1
GND,C478.2
1.2V,C479.1
GND,C479.2
1.2V_DDR,C48.1
GND,C48.2
3.3V,C480.1
GND,C480.2
L_1.2V_SW_SS,C481.1
GND,C481.2
12V,C482.1
GND,C482.2
VCORE,C483.1
GND,C483.2
1.8V_VDD18,C484.1
GND,C484.2
1.8V,C485.1
GND,C485.2
1.8V_VDD18,C486.1
GND,C486.2
VDDCPA,C487.1
VSSCPA,C487.2
1.8V_VDD18,C488.1
GND,C488.2
VCORE,C489.1
GND,C489.2
1.2V_DDR,C49.1
GND,C49.2
VCORE,C490.1
GND,C490.2
VCORE,C491.1
GND,C491.2
VCORE,C492.1
GND,C492.2
VCORE,C493.1
GND,C493.2
VCORE,C494.1
GND,C494.2
1.8V,C495.1
GND,C495.2
VCORE,C496.1
GND,C496.2
VCORE,C497.1
GND,C497.2
1.8V,C498.1
GND,C498.2
1.8V,C499.1
GND,C499.2
1.2V_DDR,C5.1
GND,C5.2
1.2V_DDR,C50.1
GND,C50.2
VCORE,C500.1
GND,C500.2
1.8V,C501.1
GND,C501.2
1.8V_VDDPLLPX,C502.1
GND_VSSPLLPX,C502.2
1.8V_VDDPLLPX,C503.1
GND_VSSPLLPX,C503.2
VCORE,C504.1
GND,C504.2
VCORE,C505.1
GND,C505.2
VCORE,C506.1
GND,C506.2
VCORE,C507.1
GND,C507.2
VCORE,C508.1
GND,C508.2
VCORE,C509.1
GND,C509.2
1.2V_DDR,C51.1
GND,C51.2
1.8V,C510.1
GND,C510.2
1.8V,C511.1
GND,C511.2
1.8V_VDDPLLPL,C512.1
GND_VSSPLLPL,C512.2
1.8V_VDDPLLPL,C513.1
GND_VSSPLLPL,C513.2
VCORE,C514.1
GND,C514.2
VCORE,C515.1
GND,C515.2
VCORE,C516.1
GND,C516.2
3.3V,C517.1
GND,C517.2
3.3V,C518.1
GND,C518.2
3.3V,C519.1
GND,C519.2
1.2V_DDR,C52.1
GND,C52.2
3.3V,C520.1
GND,C520.2
1.8V,C521.1
GND,C521.2
1.8V,C522.1
GND,C522.2
S_3.3V_SS,C523.1
GND_ANALOG_3.3V,C523.2
AG_1.2V_DDR_BST_R,C524.1
AG_1.2V_DDR_PH,C524.2
1.2V,C525.1
GND,C525.2
1.2V,C526.1
GND,C526.2
VCORE,C527.1
GND,C527.2
VDDCPA,C528.1
VSSCPA,C528.2
VCORE,C529.1
GND,C529.2
1.2V_DDR,C53.1
GND,C53.2
VCORE,C530.1
GND,C530.2
VCORE,C531.1
GND,C531.2
1.8V,C532.1
GND,C532.2
1.8V,C533.1
GND,C533.2
1.8V,C534.1
GND,C534.2
1.8V,C535.1
GND,C535.2
1.8V_VDDPLLPX,C536.1
GND_VSSPLLPX,C536.2
VCORE,C537.1
GND,C537.2
VCORE,C538.1
GND,C538.2
VCORE,C539.1
GND,C539.2
SE_CLK_GEN_GMII_XI,C54.1
GND,C54.2
VCORE,C540.1
GND,C540.2
VCORE,C541.1
GND,C541.2
VCORE,C542.1
GND,C542.2
1.8V,C543.1
GND,C543.2
1.8V,C544.1
GND,C544.2
1.8V_VDDPLLPL,C545.1
GND_VSSPLLPL,C545.2
VCORE,C546.1
GND,C546.2
VCORE,C547.1
GND,C547.2
3V_RTC_VBAT,C548.1
GND,C548.2
VDD_SENSE_SH,C549.1
VSS_SENSE,C549.2
3.3V,C55.1
GND,C55.2
1.2V,C550.1
GND,C550.2
VCORE,C551.1
GND,C551.2
VCORE,C552.1
GND,C552.2
VCORE,C553.1
GND,C553.2
VCORE,C554.1
GND,C554.2
VCORE,C555.1
GND,C555.2
1.2V,C556.1
GND,C556.2
1.2V,C557.1
GND,C557.2
1.2V,C558.1
GND,C558.2
1.2V,C559.1
GND,C559.2
1.2V_AVDDL_PLL,C56.1
GND,C56.2
1.2V,C560.1
GND,C560.2
1.2V,C561.1
GND,C561.2
3.3V,C562.1
GND,C562.2
3.3V,C563.1
GND,C563.2
1.2V,C564.1
GND,C564.2
1.2V,C565.1
GND,C565.2
3.3V_VCC1_P0,C566.1
GND,C566.2
3.3V_QSFP0,C567.1
GND,C567.2
3.3V,C568.1
GND,C568.2
3.3V_RTC_VOUT,C569.1
GND,C569.2
1.2V_DVDDL,C57.1
GND,C57.2
S_TAO_VCORE,C570.1
GND,C570.2
12V,C571.1
GND,C571.2
VCORE,C572.1
GND,C572.2
3.3V_VCC1_P0,C573.1
GND,C573.2
3.3V_VDD_RTC,C574.1
GND,C574.2
3.3V,C575.1
GND,C575.2
S_REG_VCORE_EN,C576.1
GND,C576.2
S_VINSEN_VCORE,C577.1
GND,C577.2
3.3V_VIN_CONT,C578.1
GND,C578.2
S_5V_EN,C579.1
GND,C579.2
1.8V,C58.1
GND,C58.2
12V,C580.1
GND,C580.2
VCORE,C581.1
GND,C581.2
1.2V,C582.1
GND,C582.2
3.3V_VCC_RX_P0,C583.1
GND,C583.2
3.3V_VCC_RX_P0,C584.1
GND,C584.2
3.3V,C585.1
GND,C585.2
S_VREF_CONT,C586.1
GND,C586.2
12V,C587.1
GND,C587.2
3.3V_GEN_CLK,C588.1
GND,C588.2
3.3V_GEN_R_CLK,C589.1
GND,C589.2
12V,C59.1
GND,C59.2
3.3V,C590.1
GND,C590.2
3.3V_PWR_USBPHY,C591.1
GND,C591.2
